2068437,9779.98,0,11598.05
2081270,9769.46,0,11587.18
2094102,9758.86,0,11576.24
2106935,9748.19,0,11565.23
2119767,9737.45,0,11554.14
2132599,9726.65,0,11542.98
2145432,9715.77,0,11531.74
2158264,9704.81,0,11520.43
2171097,9693.79,0,11509.04
2183929,9682.69,0,11497.58
2196761,9671.52,0,11486.04
2209594,9660.27,0,11474.42
2222426,9648.95,0,11462.73
2235259,9637.55,0,11450.97
2248091,9626.07,0,11439.12
2260923,9614.52,0,11427.20
2273756,9602.88,0,11415.20
2286588,9591.17,0,11403.13
2299420,9579.38,0,11390.97
2312253,9567.51,0,11378.74
2325085,9555.56,0,11366.43
2337918,9543.52,0,11354.04
2350750,9531.41,0,11341.57
2363582,9519.21,0,11329.03
2376415,9506.92,0,11316.40
2389247,9494.56,0,11303.69
2402080,9482.1,0,11290.91
2414912,9469.57,0,11278.04
2427744,9456.94,0,11265.09
2440577,9444.23,0,11252.06
2453409,9431.43,0,11238.95
2466241,9418.55,0,11225.76
2479074,9405.57,0,11212.49
2491906,9392.5,0,11199.14
2504739,9379.35,0,11185.70
2517571,9366.1,0,11172.18
2530403,9352.76,0,11158.58
2543236,9339.33,0,11144.90
2556068,9325.81,0,11131.13
2568901,9312.19,0,11117.28
2581733,9298.48,0,11103.34
2594565,9284.68,0,11089.32
2607398,9270.78,0,11075.22
2620230,9256.78,0,11061.03
2633063,9242.68,0,11046.76
2645895,9228.49,0,11032.40
2658727,9214.2,0,11017.96
2671560,9199.81,0,11003.43
2684392,9185.32,0,10988.81
2697224,9170.73,0,10974.11
2710057,9156.04,0,10959.32
2722889,9141.25,0,10944.45
2735722,9126.35,0,10929.48
2748554,9111.36,0,10914.43
2761386,9096.26,0,10899.30
2774219,9081.05,0,10884.07
2787051,9065.74,0,10868.76
2799884,9050.33,0,10853.36
2812716,9034.81,0,10837.87
2825548,9019.18,0,10822.29
2838381,9003.44,0,10806.62
2851213,8987.6,0,10790.86
2864045,8971.64,0,10775.01
2876878,8955.58,0,10759.08
2889710,8939.41,0,10743.05
2902543,8923.12,0,10726.93
2915375,8906.73,0,10710.72
2928207,8890.22,0,10694.42
2941040,8873.6,0,10678.03
2953872,8856.87,0,10661.54
2966705,8840.02,0,10644.97
2979537,8823.06,0,10628.30
2992369,8805.98,0,10611.54
3005202,8788.78,0,10594.69
3018034,8771.47,0,10577.74
3030866,8754.04,0,10560.70
3043699,8736.49,0,10543.57
3056531,8718.83,0,10526.34
3069364,8701.04,0,10509.02
3082196,8683.13,0,10491.61
3095028,8665.11,0,10474.10
3107861,8646.96,0,10456.49
3120693,8628.69,0,10438.79
3133526,8610.29,0,10421.00
3146358,8591.78,0,10403.10
3159190,8573.14,0,10385.12
3172023,8554.37,0,10367.03
3184855,8535.48,0,10348.85
3197688,8516.46,0,10330.58
3210520,8497.31,0,10312.20
3223352,8478.04,0,10293.73
3236185,8458.64,0,10275.16
3249017,8439.11,0,10256.50
3261849,8419.45,0,10237.73
3274682,8399.66,0,10218.87
3287514,8379.74,0,10199.90
3300347,8359.69,0,10180.84
3313179,8339.51,0,10161.68
3326011,8319.19,0,10142.42
3338844,8298.74,0,10123.06
3351676,8278.16,0,10103.60
3364509,8257.44,0,10084.04
3377341,8236.58,0,10064.38
3390173,8215.59,0,10044.62
3403006,8194.47,0,10024.76
3415838,8173.2,0,10004.79
3428670,8151.8,0,9984.73
3441503,8130.25,0,9964.56
3454335,8108.57,0,9944.29
3467168,8086.75,0,9923.91
3480000,8064.79,0,9903.44
3480000,13716.62,7264.65,5566.46
3493636,13713.27,7264.79,5559.62
3507273,13709.94,7264.93,5552.79
3520909,13706.62,7265.06,5545.96
3534545,13703.3,7265.19,5539.14
3548182,13700,7265.31,5532.32
3561818,13696.72,7265.43,5525.51
3575455,13693.44,7265.55,5518.70
3589091,13690.17,7265.66,5511.89
3602727,13686.92,7265.77,5505.08
3616364,13683.67,7265.87,5498.28
3630000,13680.44,7265.97,5491.48
3630000,13680.42,7265.93,5491.48
3642792,13664.89,7260.06,5485.10
